Protein1,Protein2,Level
M6PR,GGA3,Level_02
M6PR,GGA1,Level_02
M6PR,IGF2R,Level_02
FKBP4,STIP1,Level_02
FKBP4,NR3C2,Level_02
FKBP4,FKBP5,Level_02
FKBP4,HSPA8,Level_02
FKBP4,GLMN,Level_02
FKBP4,MTOR,Level_02
FKBP4,PTGES3,Level_02
FKBP4,DNAJB1,Level_02
FKBP4,PPID,Level_02
FKBP4,HSPA4,Level_02
FKBP4,NR3C1,Level_02
FKBP4,PGR,Level_02
FKBP4,AHSA1,Level_02
FKBP4,PHLPP1,Level_02
FKBP4,AR,Level_02
CFTR,PRKACG,Level_02
CFTR,RNF5,Level_02
CFTR,CANX,Level_02
CFTR,GOPC,Level_02
CFTR,YWHAB,Level_02
CFTR,DERL1,Level_02
CFTR,TJP1,Level_02
CFTR,PRKACA,Level_02
CFTR,PRKAG1,Level_02
CFTR,PRKAB2,Level_02
CFTR,HSPA8,Level_02
CFTR,SLC9A3R2,Level_02
CFTR,HSP90AA1,Level_02
CFTR,KCNJ1,Level_02
CFTR,FLNA,Level_02
CFTR,PRKAA1,Level_02
CFTR,PRKACB,Level_02
CFTR,HSPA4,Level_02
CFTR,VCP,Level_02
CFTR,HSP90AB1,Level_02
CFTR,SLC26A6,Level_02
CFTR,PDZK1,Level_02
CFTR,USP10,Level_02
CFTR,YWHAZ,Level_02
CFTR,STUB1,Level_02
CYP51A1,NSDHL,Level_02
CYP51A1,DHCR24,Level_02
CYP51A1,SIGMAR1,Level_02
CYP51A1,HMGCS1,Level_02
CYP51A1,POR,Level_02
CYP51A1,ERG28,Level_02
CYP51A1,SC5D,Level_02
CYP51A1,FDFT1,Level_02
CYP51A1,HSD17B7,Level_02
CYP51A1,SREBF2,Level_02
CYP51A1,DHCR7,Level_02
CYP51A1,LBR,Level_02
CYP51A1,HMGCS2,Level_02
CYP51A1,CH25H,Level_02
CYP51A1,FAXDC2,Level_02
CYP51A1,IDI1,Level_02
CYP51A1,SQLE,Level_02
CYP51A1,HMGCR,Level_02
CYP51A1,TM7SF2,Level_02
CYP51A1,MSMO1,Level_02
RALA,MAPK9,Level_02
RALA,EXOC5,Level_02
RALA,RHOA,Level_02
RALA,PLD1,Level_02
RALA,RASA1,Level_02
RALA,MAPK8,Level_02
RALA,RAC2,Level_02
RALA,RALB,Level_02
RALA,RGL2,Level_02
RALA,EXOC1,Level_02
RALA,EXOC4,Level_02
RALA,PLD2,Level_02
RALA,RGL1,Level_02
RALA,FLNA,Level_02
DVL2,CXXC4,Level_02
DVL2,FRAT1,Level_02
DVL2,NOTCH3,Level_02
DVL2,WNT3A,Level_02
DVL2,VANGL1,Level_02
DVL2,DVL3,Level_02
DVL2,DACT1,Level_02
DVL2,FZD5,Level_02
DVL2,CTNNB1,Level_02
DVL2,DVL1,Level_02
DVL2,AXIN2,Level_02
DVL2,NOTCH1,Level_02
DVL2,NKD2,Level_02
DVL2,PRICKLE1,Level_02
DVL2,WWTR1,Level_02
DVL2,ARRB2,Level_02
DVL2,CSNK2B,Level_02
DVL2,FZD4,Level_02
DVL2,PRICKLE3,Level_02
DVL2,FZD7,Level_02
DVL2,FZD2,Level_02
DVL2,NOTCH2,Level_02
DVL2,CSNK2A2,Level_02
DVL2,NKD1,Level_02
DVL2,LRP6,Level_02
DVL2,FZD8,Level_02
DVL2,APC,Level_02
DVL2,FZD1,Level_02
DVL2,BAMBI,Level_02
DVL2,GSK3B,Level_02
DVL2,WNT5A,Level_02
DVL2,CSNK2A1,Level_02
DVL2,PARD6A,Level_02
DVL2,CSNK1E,Level_02
DVL2,ARRB1,Level_02
DVL2,PRICKLE2,Level_02
DVL2,FZD6,Level_02
DVL2,PRICKLE4,Level_02
DVL2,DAAM1,Level_02
DVL2,VANGL2,Level_02
DVL2,INVS,Level_02
DVL2,DAAM2,Level_02
DVL2,FZD9,Level_02
SKAP2,FYB1,Level_02
CX3CL1,CCL11,Level_02
CX3CL1,CCR5,Level_02
CX3CL1,CCR7,Level_02
CX3CL1,CSF2,Level_02
CX3CL1,IFNG,Level_02
CX3CL1,CCL21,Level_02
CX3CL1,CXCL1,Level_02
CX3CL1,CCL5,Level_02
CX3CL1,CSF3,Level_02
CX3CL1,FGF13,Level_02
CX3CL1,FGF2,Level_02
CX3CL1,CCL20,Level_02
CX3CL1,CXCR4,Level_02
CX3CL1,CXCR1,Level_02
CX3CL1,CXCR6,Level_02
CX3CL1,CCR3,Level_02
CX3CL1,CD200R1,Level_02
CX3CL1,CCR2,Level_02
CX3CL1,CXCR3,Level_02
CX3CL1,CXCR2,Level_02
CX3CL1,CXCL9,Level_02
CX3CL1,EGF,Level_02
CX3CL1,CXCL10,Level_02
PGLYRP1,HSPA4,Level_02
PGLYRP1,TREM1,Level_02
CAMK1G,CALM3,Level_02
CD74,RPL30,Level_02
CD74,RPS17,Level_02
CD74,MRPL36,Level_02
CD74,HLA-DPB1,Level_02
CD74,RSAD1,Level_02
CD74,RPL4,Level_02
CD74,RPS7,Level_02
CD74,RPLP1,Level_02
CD74,HLA-DQB1,Level_02
CD74,RPS5,Level_02
CD74,HLA-DOA,Level_02
CD74,RPL26L1,Level_02
CD74,MRPL33,Level_02
CD74,RPS28,Level_02
CD74,RPS25,Level_02
CD74,MED1,Level_02
CD74,CXCR4,Level_02
CD74,RPL10A,Level_02
CD74,HLA-DQA2,Level_02
CD74,MRPL12,Level_02
CD74,MRPL21,Level_02
CD74,RPL8,Level_02
CD74,RPS20,Level_02
CD74,MRPS9,Level_02
CD74,CTSS,Level_02
CD74,RPL23A,Level_02
CD74,RPL17,Level_02
CD74,HLA-DQB2,Level_02
CD74,RPS8,Level_02
CD74,MRPL17,Level_02
CD74,RPS15,Level_02
CD74,RPS2,Level_02
CD74,RPL24,Level_02
CD74,RPS10-NUDT3,Level_02
CD74,RPL37A,Level_02
CD74,MRPS6,Level_02
CD74,UBA52,Level_02
CD74,RPS6,Level_02
CD74,RPL26,Level_02
CD74,LGMN,Level_02
CD74,TUFM,Level_02
CD74,RPS24,Level_02
CD74,RPL11,Level_02
CD74,RPS27L,Level_02
CD74,RPS21,Level_02
CD74,RPL9,Level_02
CD74,RPL18,Level_02
CD74,HLA-DMA,Level_02
CD74,RPL7,Level_02
CD74,IMP3,Level_02
CD74,MRPL32,Level_02
CD74,RPL13,Level_02
CD74,RPL6,Level_02
CD74,RPL36,Level_02
CD74,RPL27A,Level_02
CD74,HLA-DQA1,Level_02
CD74,RPS10,Level_02
CD74,HLA-DRB1,Level_02
CD74,RPL7A,Level_02
CD74,RPL23,Level_02
CD74,RPL7L1,Level_02
CD74,RPS19,Level_02
CD74,CXorf66,Level_02
CD74,MRPS16,Level_02
CD74,RACK1,Level_02
CD74,RPL15,Level_02
CD74,RPL35,Level_02
CD74,RPSA,Level_02
CD74,RPS12,Level_02
CD74,RPL19,Level_02
CD74,RPS16,Level_02
CD74,RPL5,Level_02
CD74,RPL34,Level_02
CD74,RPS18,Level_02
CD74,RPL10,Level_02
CD74,CXCR2,Level_02
CD74,RPL12,Level_02
CD74,CTSB,Level_02
CD74,RPLP2,Level_02
CD74,IFI35,Level_02
CD74,RPS9,Level_02
CD74,RPL38,Level_02
CD74,RPL39,Level_02
CD74,RPL13A,Level_02
CD74,RPL10L,Level_02
CD74,RPL17-C18orf32,Level_02
CD74,APP,Level_02
CD74,RPS23,Level_02
CD74,RSRC1,Level_02
CD74,MRPL20,Level_02
CD74,HLA-DMB,Level_02
CD74,FAU,Level_02
CD74,PDCD11,Level_02
CD74,RPL29,Level_02
CD74,RPL27,Level_02
CD74,RPLP0,Level_02
CD74,RPL32,Level_02
CD74,EIF1AY,Level_02
CD74,RPS27A,Level_02
CD74,HLA-DOB,Level_02
