TF,Gene,Mode_of_Regulation,PubMedId
CREM,ACE,Activation,8901568
EGR1,ACE,Activation,12433834
EGR1,ACE,Unknown,14679188
HIF1A,ACE,Activation,19592460
SP3,ACE,Unknown,14679188
CTCF,APP,Activation,11706010;9407128
CTCF,APP,Repression,11706010
ETS2,APP,Unknown,12890557
HDAC9,APP,Unknown,20145244
JUN,APP,Unknown,8015372
NFIL3,APP,Unknown,22947103
SP1,APP,Activation,15673661
SP1,APP,Unknown,8015372
STAT1,APP,Unknown,9841227
TBP,APP,Unknown,8015372
TFAP2A,APP,Unknown,17651731
PAX2,ADAM10,Unknown,21876729;21880579
SP1,ADAM10,Activation,21854868
CDX2,GSK3B,Unknown,24501326
CREB1,GSK3B,Unknown,11579131
NFKB1,GSK3B,Unknown,11579131
TFCP2,GSK3B,Unknown,16973241
PARP1,HFE,Unknown,24184271
ATF4,APOE,Activation,22028770
FOXM1,APOE,Unknown,11229886
SP1,APOE,Unknown,11229886
NA,MAPT,NA,NA
NA,TREM2,NA,NA
CREB1,PSEN1,Activation,11116137
ELK1,PSEN1,Activation,12750007
SP1,PSEN1,Unknown,10446206
ATF2,PLAU,Unknown,10454570
ATF4,PLAU,Activation,18829529
CREB1,PLAU,Unknown,11776974
EGR1,PLAU,Activation,21283769
ETS1,PLAU,Unknown,10211993;11556732
FOS,PLAU,Unknown,11774399
GATA6,PLAU,Repression,15231498
HIF1A,PLAU,Unknown,14567996
HOXD3,PLAU,Unknown,14610084
ILF3,PLAU,Activation,22986534
JUN,PLAU,Unknown,10454570;11774399
NFKB1,PLAU,Activation,11689575;17407600;20352621
POU2F1,PLAU,Unknown,10951201
RARA,PLAU,Unknown,10361124
RELA,PLAU,Activation,11689575;17407600;20352621
RFWD2,PLAU,Repression,12615916
RUNX2,PLAU,Unknown,18331818
SP1,PLAU,Unknown,10361124
SRF,PLAU,Activation,15514113
GATA1,BACE1,Unknown,12815710
NFKB1,BACE1,Repression,17385716
RELA,BACE1,Repression,17385716
SP1,BACE1,Activation,21712774;22275252
SP1,BACE1,Unknown,15681800;15857888
TFAP2A,BACE1,Unknown,15059977
NRF1,IDE,Activation,22870279
AHR,IL1B,Unknown,23349129
CEBPB,IL1B,Activation,17386941
CEBPB,IL1B,Unknown,10383163;10801783
E2F1,IL1B,Unknown,17707233
HMGA1,IL1B,Unknown,15901130
HSF1,IL1B,Repression,10328874
IRF8,IL1B,Activation,17386941
JUN,IL1B,Unknown,11306276
JUNB,IL1B,Unknown,11306276
KLF4,IL1B,Repression,22449968
NFIL3,IL1B,Repression,8547328
NFKB1,IL1B,Activation,12686724;14960579;8413223;8679226;9878621
NFKB1,IL1B,Unknown,10080875;10963848;16433741;17707233;18285351;20336759;9058643
NFKBIA,IL1B,Repression,15228586
REL,IL1B,Activation,8413223
RELA,IL1B,Activation,12686724;14960579;8021507;8413223;8679226;9878621
RELA,IL1B,Unknown,10080875;10963848;16433741;17707233;18285351;20336759;9058643
SIRT1,IL1B,Unknown,21245135
SPI1,IL1B,Activation,17386941
SPI1,IL1B,Unknown,10801783
STAT1,IL1B,Activation,17386941
SUGP1,IL1B,Activation,9878621
YY1,IL1B,Unknown,22467534
CEBPA,INSR,Activation,8288055
CEBPB,INSR,Activation,8288055
ESR2,INSR,Repression,22099628
HMGA1,INSR,Activation,16707431
HMGA1,INSR,Repression,17434141
SP1,INSR,Activation,1311316;16707431
SP1,INSR,Unknown,7983788
CEBPA,LEP,Activation,21983012
HIF1A,LEP,Activation,18559540
HIF1A,LEP,Unknown,19080496
KHDRBS1,LEP,Activation,21672929
SP1,LEP,Activation,18559540
STAT3,LEP,Activation,18242580;19492417
CREB1,NPY,Unknown,12967770
FOS,NPY,Unknown,8036020
JUN,NPY,Unknown,8036020
SP1,NPY,Unknown,2376581
ABL1,BCL2,Repression,11753601
ATF1,BCL2,Unknown,10542244
ATF5,BCL2,Activation,21212266
ATM,BCL2,Repression,16214353
BACH2,BCL2,Unknown,18929412
CEBPA,BCL2,Repression,12970736
CREB1,BCL2,Activation,17290286
